id,name,DividendRecentAvg,DividendRecentSlope,Category,CurrentClosingPrice,CurrentTrend,CurrentTrendPercent,CurrentTurnover,CurrentPE,CurrentPEAvg,CurrentRecentTrendPercent,CurrentRecentTrendComment
1326,台化,0.0391,0.000833,塑膠,71.3,0.3,0.0042,2177,22.54,42.33,0.0042,連3跌→漲
2883,開發金,0.04082,0.012867,金融業,13.05,0,0,21789,9.74,15.71,0,連2跌→平
1590,亞德客-KY,0.00972,0.000533,電機,1085,0,0,548,34.58,28.42,0,連2漲→平
2356,英業達,0.04642,-0.000167,電腦週邊,25.9,0.25,0.0097,5856,14.83,19.62,0.0097,平→漲
2849,安泰銀,0.04032,-0.0044,金融業,14.8,0,0,8,13.96,15.71,0,跌→平
8454,富邦媒,0.01418,-0.0058,貿易百貨,749,-6,-0.0079,881,49.54,35.76,0.0684,連3跌
1402,遠東新,0.039,-0.001967,紡織,32.55,0.15,0.0046,5768,18.62,18.36,0.0062,連2漲
2884,玉山金,0.01946,-0.000833,金融業,24.4,-0.1,-0.0041,20284,21.49,15.71,0.0121,連2跌
1605,華新,0.03608,-0.011867,電器電纜,52.6,-1.3,-0.0241,72549,8.6,16.86,0.0295,連2跌
2360,致茂,0.02182,0.005733,其他電子,188.5,-3,-0.0157,1030,16.57,33.66,0.0157,漲→跌
2867,三商壽,0,0,金融業,5.68,0.03,0.0053,15788,0,0,0.0143,連2漲
8464,億豐,0.02626,-0.000267,其他,329,13,0.0411,741,15.09,130.5,0.0411,跌→漲
1476,儒鴻,0.02162,0.000567,紡織,494.5,6.5,0.0133,694,18.34,18.36,0.0133,連2跌→漲
2885,元大金,0.03828,0.005633,金融業,22.75,0.05,0.0022,11244,10.86,15.71,0.0022,連2跌→漲
1704,榮化,0,-999,,0,,,0,,0,,
2362,藍天,0.02578,0.0108,電腦週邊,30.95,-0.05,-0.0016,285,14.29,19.62,0.0159,連2跌
2888,新光金,0.03032,0.007433,金融業,8.75,0,0,30272,12.15,15.71,0,連3跌→平
9907,統一實,0.0275,0.009467,其他,18,0,0,1331,10.29,130.5,0,連3平
2002,中鋼,0.03424,0.019667,鋼鐵,31.45,0.4,0.0129,14688,11.76,21.15,0.0129,連3跌→漲
2886,兆豐金,0.03854,-0.0057,金融業,32.25,0.15,0.0047,10853,22.77,15.71,0.0047,連2跌→漲
1707,葡萄王,0.02846,0.004333,生技,176,2,0.0115,916,18.09,29.01,0.0203,連3漲
2376,技嘉,0.05204,0.024633,電腦週邊,119.5,3.5,0.0302,10225,8.26,19.62,0.0437,連2漲
2903,遠百,0.03196,0.003367,貿易百貨,22.2,0.2,0.0091,3293,19.13,35.76,0.0254,連4漲
9910,豐泰,0.0175,-0.001667,其他,199.5,3.5,0.0179,1178,19.22,130.5,0.0179,連2跌→漲
2105,正新,0.0241,0.002167,橡膠,34,-0.15,-0.0044,4676,22.32,18.09,0.0202,連4跌
2887,台新金,0.02798,-0.0002,金融業,16.1,-0.05,-0.0031,9883,19.46,15.71,0.0123,連2跌
1717,長興,0.03132,0.003733,化學,32.95,0.2,0.0061,1159,13.15,30.29,0.0061,跌→漲
2377,微星,0.04334,0.0087,電腦週邊,134,1.5,0.0113,2390,8.42,19.62,0.0152,連2漲
2915,潤泰全,0.04806,0.0017,貿易百貨,66.8,0.4,0.006,1762,3.72,35.76,0.006,連2跌→漲
9914,美利達,0.01802,0.005233,其他,186,-4.5,-0.0236,697,12.73,130.5,0.0236,連3漲→跌
2207,和泰車,0.02074,0.002667,汽車,636,-11,-0.017,183,0,0,0.032,連2跌
2890,永豐金,0.04002,-0.001233,金融業,17.35,0,0,12989,12.05,15.71,0,跌→平
1722,台肥,0.03338,-0.001133,化學,56.8,0.1,0.0018,1380,19.03,30.29,0.0018,跌→漲
2379,瑞昱,0.03352,0.016533,半導體,334,1,0.003,2242,9.14,19.58,0.003,跌→漲
3034,聯詠,0.05742,0.0411,半導體,364,8,0.0225,8902,6.21,19.58,0.0225,跌→漲
9917,中保,0.03758,0.000967,其他,101,1,0.01,235,16.95,130.5,0.01,連2跌→漲
2301,光寶科,0.0531,-0.01,電腦週邊,68.7,0.4,0.0059,4557,12.2,19.62,0.0346,連4漲
2891,中信金,0.0387,0.002333,金融業,22.3,-0.05,-0.0022,24917,11.18,15.71,0.0388,連6跌
1723,中碳,0.02946,-0.0016,化學,111,-0.5,-0.0045,285,16.23,30.29,0.0045,連4漲→跌
2383,台光電,0.02996,0.009933,電子零組件,184,1.5,0.0082,1881,11.68,15.16,0.0082,跌→漲
3037,欣興,0.01448,0.0009,電子零組件,130,1,0.0078,21654,7,15.16,0.0078,連2跌→漲
9921,巨大,0.01976,0.006,其他,206.5,-3,-0.0143,532,11.68,130.5,0.0236,連2跌
2303,聯電,0.03598,0.0071,半導體,49.15,0.1,0.002,54829,7.28,19.58,0.002,連2跌→漲
2892,第一金,0.03278,-0.002267,金融業,26.1,0.05,0.0019,11193,17.48,15.71,0.0019,跌→漲
1789,神隆,0.01328,-0.000133,生技,26.85,0.1,0.0037,1014,68.59,29.01,0.0113,連2漲
2385,群光,0.0487,0.0079,電子零組件,89.6,0.4,0.0045,1765,8.75,15.16,0.0045,跌→漲
3044,健鼎,0.0446,0.004233,電子零組件,103,0.5,0.0049,1027,8.89,15.16,0.0049,連2跌→漲
9933,中鼎,0.04064,0.000767,其他,44.2,0.5,0.0114,1958,13.61,130.5,0.022,連3漲
2308,台達電,0.02038,-0.002633,電子零組件,296,-1,-0.0034,4332,24.87,15.16,0.0182,連2跌
2912,統一超,0.02496,0.000967,貿易百貨,267.5,0,0,1051,28.86,35.76,0,跌→平
1802,台玻,0.02434,0.0206,玻璃,23.05,0.05,0.0022,2340,19.83,45.33,0.0022,跌→漲
2392,正崴,0.04034,0.001067,電子零組件,40.15,0.05,0.0012,1737,13.46,15.16,0.094,連8漲
3189,景碩,0.01796,-0.0031,半導體,109.5,1,0.0092,5093,6.87,19.58,0.0092,連2跌→漲
9938,百和,0.0334,0.010367,其他,59.6,1.4,0.0241,2329,9.3,130.5,0.042,連2漲
2311,日月光,0,-999,,0,,,0,,0,,
3008,大立光,0.02414,0.000375,光電,2215,0,0,583,12.46,50.82,0,跌→平
2015,豐興,0.04342,-0.003833,鋼鐵,69.9,-0.7,-0.0099,334,11.46,21.15,0.0155,連2跌
2448,晶電,0,-999,,0,,,0,,0,,
3231,緯創,0.05318,0.008333,電腦週邊,31.95,0,0,6572,7.29,19.62,0,連2平
9945,潤泰新,0.02192,-0.004633,其他,44.65,-0.05,-0.0011,2675,5.88,130.5,0.0165,連3跌
2317,鴻海,0.03656,-0.000033,其他電子,100.5,-1,-0.0099,31172,9.64,33.66,0.0099,漲→跌
3045,台灣大,0.03388,-0.0019,通訊網路,95.6,0.7,0.0074,2482,24.27,28.42,0.0074,跌→漲
